SampleID,Location,Latitude,Longitude,pH,As,Pb,Cd,Cr,Hg,Fe,Mn,Zn,Cu
S714,Aurangabad,19.8656,75.4077,6.98,0.023,0.023,0.006,0.045,0.002,0.11,0.1,0.19,0.07
S715,Satara,17.6939,73.9666,6.82,0.018,0.029,0.007,0.035,0.002,0.3,0.07,0.05,0.07
S716,Nagpur,21.151,79.0697,6.6,0.02,0.024,0.006,0.055,0.0,0.24,0.09,0.2,0.03
S717,Satara,17.7386,74.0224,6.98,0.015,0.023,0.007,0.025,0.002,0.27,0.08,0.24,0.07
S718,Ahmednagar,19.1136,74.7837,6.64,0.027,0.008,0.003,0.031,0.002,0.32,0.09,0.14,0.04
S719,Ahmednagar,19.0503,74.7714,7.17,0.026,0.02,0.006,0.033,0.003,0.38,0.11,0.13,0.08
S720,Solapur,17.6793,75.8859,6.67,0.014,0.037,0.007,0.025,0.001,0.4,0.07,0.16,0.05
S721,Kolhapur,16.7535,74.2202,7.29,0.017,0.028,0.001,0.014,0.002,0.32,0.07,0.1,0.07
S722,Pune,18.5373,73.8526,7.2,0.009,0.024,0.008,0.037,0.002,0.48,0.06,0.17,0.09
S723,Satara,17.6708,74.0441,6.75,0.012,0.029,0.007,0.047,0.003,0.29,0.14,0.13,0.08
S724,Kolhapur,16.7112,74.2567,7.11,0.006,0.018,0.005,0.019,0.003,0.37,0.11,0.1,0.09
S725,Nashik,20.0586,73.7942,7.13,0.017,0.03,0.005,0.036,0.003,0.49,0.06,0.14,0.04
S726,Satara,17.7283,74.0007,6.64,0.02,0.038,0.006,0.038,0.002,0.41,0.07,0.14,0.05
S727,Nagpur,21.1108,79.0783,7.28,0.019,0.031,0.005,0.041,0.001,0.28,0.11,0.15,0.07
S728,Kolhapur,16.7008,74.232,7.79,0.021,0.029,0.005,0.031,0.002,0.32,0.04,0.08,0.05
S729,Aurangabad,19.8824,75.3361,7.37,0.007,0.021,0.008,0.037,0.003,0.46,0.08,0.14,0.05
S730,Kolhapur,16.6464,74.234,7.22,0.019,0.03,0.004,0.029,0.003,0.26,0.11,0.15,0.09
S731,Aurangabad,19.9053,75.3044,6.7,0.019,0.026,0.004,0.046,0.002,0.3,0.12,0.12,0.09
S732,Ahmednagar,19.0716,74.7693,7.36,0.008,0.024,0.007,0.048,0.002,0.24,0.13,0.19,0.04
S733,Aurangabad,19.8401,75.3501,7.16,0.014,0.031,0.004,0.015,0.002,0.31,0.09,0.09,0.02
S734,Sangli,16.837,74.6084,7.31,0.023,0.02,0.003,0.041,0.003,0.33,0.04,0.11,0.06
S735,Pune,18.535,73.8797,7.04,0.018,0.027,0.006,0.039,0.002,0.28,0.1,0.16,0.07
S736,Sangli,16.8638,74.6218,7.07,0.012,0.032,0.002,0.025,0.002,0.34,0.06,0.12,0.05
S737,Nagpur,21.1312,79.1165,7.18,0.016,0.022,0.002,0.05,0.002,0.24,0.12,0.14,0.05
S738,Mumbai,19.0891,72.8555,6.91,0.017,0.023,0.006,0.055,0.001,0.17,0.04,0.13,0.05
S739,Nagpur,21.152,79.0922,6.6,0.005,0.028,0.005,0.032,0.001,0.34,0.14,0.15,0.04
S740,Solapur,17.6612,75.8654,7.26,0.016,0.014,0.004,0.041,0.002,0.28,0.06,0.16,0.05
S741,Satara,17.6158,74.0072,7.25,0.014,0.038,0.006,0.039,0.002,0.29,0.09,0.13,0.07
S742,Sangli,16.8243,74.5492,6.72,0.028,0.03,0.006,0.025,0.002,0.29,0.11,0.1,0.06
S743,Nagpur,21.1331,79.0652,7.18,0.007,0.03,0.006,0.027,0.001,0.28,0.11,0.13,0.07
S744,Satara,17.7334,74.0031,6.57,0.021,0.038,0.006,0.025,0.002,0.21,0.12,0.09,0.05
S745,Satara,17.6504,74.0221,6.91,0.017,0.026,0.003,0.042,0.002,0.22,0.17,0.16,0.06
S746,Satara,17.723,74.0736,6.96,0.018,0.019,0.005,0.034,0.002,0.33,0.12,0.15,0.04
S747,Pune,18.4922,73.8403,6.93,0.022,0.018,0.004,0.046,0.002,0.34,0.1,0.15,0.06
S748,Mumbai,19.096,72.8313,6.91,0.018,0.03,0.008,0.032,0.003,0.25,0.14,0.17,0.04
S749,Aurangabad,19.8854,75.3418,7.16,0.015,0.024,0.008,0.035,0.003,0.28,0.15,0.11,0.05
S750,Nagpur,21.1915,79.0749,7.4,0.021,0.025,0.001,0.036,0.002,0.39,0.15,0.11,0.08
S751,Solapur,17.6829,75.9386,7.12,0.004,0.025,0.003,0.034,0.003,0.32,0.13,0.15,0.03
S752,Nagpur,21.0702,79.0927,6.95,0.01,0.014,0.004,0.034,0.003,0.32,0.15,0.1,0.08
S753,Aurangabad,19.8776,75.3641,6.89,0.022,0.028,0.004,0.036,0.002,0.34,0.06,0.14,0.07
S754,Ahmednagar,19.0962,74.79,7.19,0.016,0.028,0.006,0.04,0.001,0.28,0.06,0.19,0.06
S755,Kolhapur,16.6992,74.2702,7.11,0.009,0.026,0.004,0.019,0.001,0.29,0.1,0.08,0.08
S756,Satara,17.6774,74.0194,7.1,0.011,0.029,0.004,0.027,0.002,0.42,0.12,0.18,0.05
S757,Sangli,16.8045,74.6262,7.51,0.025,0.024,0.003,0.025,0.001,0.29,0.15,0.13,0.07
S758,Sangli,16.8937,74.5694,7.51,0.028,0.025,0.004,0.043,0.002,0.21,0.14,0.19,0.06
S759,Kolhapur,16.6671,74.2064,7.03,0.013,0.024,0.007,0.043,0.003,0.22,0.09,0.17,0.07
S760,Solapur,17.7059,75.919,7.46,0.019,0.033,0.004,0.036,0.003,0.43,0.12,0.14,0.09
S761,Sangli,16.7866,74.5388,7.17,0.016,0.03,0.005,0.042,0.001,0.35,0.13,0.19,0.1
S762,Kolhapur,16.7123,74.2515,6.62,0.013,0.025,0.007,0.03,0.003,0.3,0.09,0.15,0.05
S763,Kolhapur,16.6921,74.1922,6.94,0.013,0.022,0.006,0.043,0.002,0.38,0.12,0.13,0.05
S764,Satara,17.6899,74.0355,7.35,0.023,0.022,0.005,0.043,0.003,0.38,0.1,0.09,0.04
S765,Aurangabad,19.8844,75.3536,6.73,0.016,0.03,0.003,0.047,0.002,0.4,0.08,0.1,0.05
S766,Aurangabad,19.8733,75.3316,6.95,0.018,0.025,0.005,0.019,0.002,0.29,0.15,0.1,0.02
S767,Aurangabad,19.8947,75.3537,6.75,0.007,0.037,0.008,0.011,0.002,0.43,0.09,0.12,0.05
S768,Nagpur,21.1122,79.0371,7.26,0.005,0.028,0.007,0.021,0.001,0.4,0.12,0.12,0.08
S769,Mumbai,19.1122,72.8858,6.77,0.014,0.028,0.005,0.045,0.001,0.18,0.11,0.12,0.05
S770,Nagpur,21.0928,79.0888,6.99,0.02,0.026,0.005,0.048,0.001,0.34,0.05,0.11,0.04
S771,Kolhapur,16.7285,74.2413,7.0,0.009,0.024,0.003,0.04,0.001,0.41,0.05,0.11,0.09
S772,Mumbai,19.0629,72.8383,7.05,0.013,0.02,0.003,0.064,0.002,0.15,0.14,0.16,0.04
S773,Sangli,16.8244,74.6017,6.94,0.004,0.039,0.004,0.051,0.003,0.22,0.13,0.11,0.02
S774,Nashik,19.9848,73.8017,6.88,0.014,0.034,0.005,0.028,0.003,0.32,0.02,0.16,0.07
S775,Nagpur,21.1464,79.115,6.83,0.018,0.015,0.006,0.056,0.001,0.24,0.08,0.15,0.04
S776,Nagpur,21.1584,79.1136,7.13,0.005,0.033,0.007,0.044,0.002,0.32,0.13,0.22,0.04
S777,Satara,17.7128,74.0157,6.97,0.007,0.024,0.003,0.031,0.001,0.26,0.09,0.14,0.03
S778,Aurangabad,19.8328,75.3542,6.8,0.022,0.028,0.006,0.05,0.002,0.25,0.13,0.16,0.06
S779,Ahmednagar,19.1369,74.7432,7.01,0.016,0.019,0.005,0.05,0.002,0.3,0.1,0.15,0.07
S780,Sangli,16.8707,74.5715,7.08,0.019,0.019,0.005,0.014,0.002,0.35,0.12,0.12,0.07
S781,Ahmednagar,19.1379,74.792,6.99,0.017,0.034,0.002,0.033,0.003,0.38,0.11,0.08,0.06
S782,Aurangabad,19.8585,75.3532,6.8,0.01,0.012,0.007,0.032,0.002,0.3,0.07,0.09,0.04
S783,Mumbai,19.0543,72.8887,6.8,0.026,0.033,0.007,0.035,0.003,0.28,0.1,0.15,0.07
S784,Nagpur,21.1649,79.0739,6.87,0.02,0.031,0.004,0.02,0.002,0.35,0.15,0.09,0.05
S785,Aurangabad,19.8645,75.384,6.99,0.011,0.03,0.004,0.024,0.001,0.44,0.11,0.14,0.06
S786,Nagpur,21.1546,79.0966,7.07,0.017,0.032,0.005,0.026,0.002,0.14,0.16,0.17,0.04
S787,Kolhapur,16.6965,74.2242,7.39,0.007,0.027,0.005,0.044,0.002,0.16,0.09,0.1,0.06
S788,Nashik,20.0405,73.7376,6.8,0.013,0.023,0.006,0.034,0.002,0.25,0.11,0.17,0.05
S789,Aurangabad,19.8996,75.3449,7.26,0.015,0.029,0.005,0.035,0.002,0.34,0.06,0.2,0.02
S790,Pune,18.4999,73.8539,7.1,0.025,0.013,0.004,0.015,0.002,0.32,0.15,0.14,0.08
S791,Sangli,16.8699,74.5684,6.65,0.018,0.016,0.008,0.034,0.003,0.26,0.11,0.15,0.06
S792,Nashik,19.9845,73.8016,6.77,0.009,0.035,0.006,0.037,0.003,0.28,0.14,0.15,0.04
S793,Aurangabad,19.9316,75.373,6.97,0.02,0.023,0.007,0.012,0.001,0.38,0.09,0.15,0.03
S794,Pune,18.5758,73.8924,6.95,0.014,0.033,0.009,0.046,0.004,0.23,0.08,0.09,0.07
S795,Pune,18.5257,73.8521,7.2,0.023,0.015,0.004,0.044,0.002,0.24,0.13,0.09,0.05
S796,Sangli,16.8623,74.5643,7.2,0.013,0.036,0.005,0.043,0.003,0.25,0.04,0.15,0.06
S797,Aurangabad,19.8929,75.3365,6.89,0.028,0.016,0.006,0.03,0.002,0.27,0.08,0.16,0.09
S798,Nashik,20.0116,73.7929,6.75,0.019,0.041,0.004,0.032,0.002,0.26,0.02,0.16,0.04
S799,Satara,17.6322,74.0409,6.73,0.014,0.036,0.002,0.021,0.002,0.39,0.05,0.16,0.07
S800,Mumbai,19.0142,72.9017,7.22,0.014,0.035,0.007,0.037,0.002,0.22,0.1,0.16,0.05
S801,Pune,18.4545,73.8948,7.05,0.014,0.032,0.008,0.01,0.002,0.19,0.11,0.15,0.07
S802,Ahmednagar,19.0802,74.6934,6.89,0.018,0.033,0.003,0.046,0.001,0.33,0.08,0.15,0.08
S803,Aurangabad,19.8394,75.3229,7.05,0.03,0.02,0.009,0.056,0.002,0.28,0.08,0.14,0.03
S804,Satara,17.6782,74.0632,6.85,0.015,0.014,0.006,0.039,0.002,0.28,0.09,0.16,0.06
S805,Satara,17.6899,74.0247,7.28,0.02,0.027,0.008,0.04,0.003,0.35,0.04,0.19,0.06
S806,Satara,17.6789,74.0267,6.91,0.017,0.022,0.008,0.035,0.002,0.23,0.11,0.15,0.07
S807,Kolhapur,16.6742,74.1953,7.16,0.025,0.019,0.008,0.039,0.002,0.27,0.06,0.18,0.04
S808,Nashik,19.9741,73.8196,6.53,0.007,0.026,0.006,0.041,0.002,0.5,0.09,0.13,0.04
S809,Pune,18.5241,73.8751,7.3,0.007,0.024,0.006,0.042,0.002,0.34,0.08,0.2,0.08
S810,Aurangabad,19.8359,75.311,6.74,0.02,0.017,0.004,0.041,0.002,0.32,0.07,0.16,0.05
S811,Satara,17.6708,74.0254,7.03,0.016,0.021,0.004,0.036,0.001,0.26,0.11,0.09,0.08
S812,Mumbai,19.1141,72.8403,7.34,0.015,0.029,0.004,0.045,0.002,0.23,0.07,0.08,0.06
S813,Mumbai,19.0932,72.8972,6.97,0.009,0.021,0.007,0.031,0.002,0.21,0.11,0.12,0.08
S814,Solapur,17.6831,75.8915,6.97,0.013,0.016,0.003,0.038,0.002,0.31,0.09,0.18,0.06
S815,Satara,17.7016,73.9651,6.5,0.018,0.016,0.005,0.033,0.003,0.33,0.1,0.17,0.07
S816,Mumbai,19.0623,72.9098,6.72,0.018,0.015,0.005,0.038,0.003,0.17,0.08,0.17,0.07
S817,Ahmednagar,19.1006,74.7209,6.85,0.023,0.026,0.006,0.035,0.001,0.37,0.12,0.23,0.04
S818,Pune,18.5451,73.8174,7.04,0.022,0.011,0.005,0.03,0.001,0.33,0.13,0.13,0.06
S819,Nashik,20.0009,73.7899,6.73,0.023,0.028,0.006,0.028,0.002,0.29,0.05,0.07,0.05
S820,Nashik,20.0132,73.7702,6.75,0.011,0.023,0.004,0.058,0.003,0.38,0.14,0.1,0.04
S821,Ahmednagar,19.062,74.7896,6.86,0.008,0.023,0.005,0.039,0.002,0.23,0.12,0.11,0.06
S822,Aurangabad,19.8968,75.324,6.86,0.02,0.02,0.004,0.042,0.004,0.35,0.11,0.16,0.04
S823,Mumbai,19.0795,72.8768,7.08,0.017,0.029,0.004,0.037,0.001,0.27,0.14,0.15,0.06
S824,Nagpur,21.2027,79.0474,6.72,0.026,0.026,0.005,0.024,0.002,0.34,0.07,0.13,0.05
S825,Mumbai,19.0837,72.8441,7.31,0.021,0.023,0.005,0.035,0.001,0.26,0.09,0.2,0.08
S826,Sangli,16.8804,74.5926,6.72,0.016,0.033,0.002,0.042,0.004,0.38,0.14,0.15,0.08
S827,Solapur,17.6384,75.9303,7.16,0.018,0.035,0.004,0.034,0.002,0.22,0.11,0.07,0.08
S828,Ahmednagar,19.0966,74.734,6.79,0.015,0.031,0.006,0.029,0.001,0.35,0.08,0.14,0.06
S829,Ahmednagar,19.1046,74.7753,6.68,0.005,0.022,0.009,0.056,0.003,0.28,0.05,0.05,0.05
S830,Ahmednagar,19.0893,74.7886,7.22,0.017,0.02,0.003,0.039,0.003,0.33,0.07,0.17,0.07
S831,Nagpur,21.1137,79.0647,7.17,0.015,0.037,0.006,0.031,0.002,0.31,0.08,0.1,0.07
S832,Sangli,16.8778,74.5996,7.38,0.013,0.038,0.003,0.026,0.001,0.26,0.08,0.16,0.06
S833,Solapur,17.6241,75.8946,6.91,0.005,0.019,0.003,0.05,0.002,0.35,0.06,0.19,0.09
S834,Satara,17.6205,73.9971,7.12,0.02,0.021,0.004,0.03,0.002,0.4,0.08,0.18,0.04
S835,Satara,17.6551,74.0429,7.23,0.021,0.017,0.004,0.044,0.002,0.21,0.11,0.11,0.1
S836,Aurangabad,19.9225,75.3614,7.34,0.016,0.031,0.008,0.038,0.002,0.16,0.1,0.17,0.08
S837,Ahmednagar,19.1103,74.7334,6.51,0.013,0.024,0.004,0.042,0.004,0.31,0.09,0.13,0.06
S838,Solapur,17.6351,75.91,7.11,0.017,0.029,0.006,0.018,0.003,0.25,0.07,0.1,0.07
S839,Aurangabad,19.8695,75.2928,7.12,0.007,0.027,0.005,0.045,0.003,0.19,0.1,0.13,0.07
S840,Ahmednagar,19.1017,74.739,6.89,0.009,0.033,0.006,0.045,0.002,0.25,0.07,0.15,0.04
S841,Ahmednagar,19.1507,74.7104,7.07,0.025,0.03,0.005,0.026,0.001,0.36,0.15,0.12,0.04
S842,Pune,18.4467,73.8273,6.97,0.026,0.031,0.006,0.032,0.002,0.41,0.11,0.06,0.05
S843,Ahmednagar,19.0695,74.7332,7.14,0.015,0.025,0.008,0.029,0.003,0.25,0.1,0.13,0.06
S844,Mumbai,19.0893,72.8907,6.81,0.009,0.044,0.004,0.043,0.001,0.28,0.1,0.16,0.01
S845,Nagpur,21.1508,79.0537,7.08,0.01,0.02,0.004,0.025,0.002,0.2,0.05,0.18,0.03
S846,Nagpur,21.1404,79.1108,6.85,0.011,0.028,0.007,0.024,0.002,0.16,0.09,0.14,0.04
S847,Aurangabad,19.8625,75.3011,7.02,0.022,0.018,0.004,0.041,0.003,0.18,0.09,0.15,0.06
S848,Mumbai,19.0017,72.8927,7.38,0.017,0.019,0.004,0.054,0.003,0.35,0.11,0.11,0.06
S849,Nashik,19.9952,73.8063,7.38,0.023,0.016,0.005,0.043,0.002,0.25,0.19,0.09,0.04
S850,Nagpur,21.1528,79.1517,6.79,0.014,0.034,0.005,0.033,0.002,0.32,0.13,0.19,0.07
S851,Nashik,20.0063,73.7962,7.12,0.016,0.026,0.007,0.051,0.001,0.3,0.08,0.13,0.07
S852,Sangli,16.8725,74.5781,6.52,0.01,0.032,0.001,0.048,0.002,0.41,0.09,0.06,0.07
S853,Mumbai,19.1142,72.9054,6.83,0.017,0.022,0.003,0.046,0.001,0.23,0.07,0.08,0.06
S854,Nashik,20.0323,73.7843,6.62,0.021,0.038,0.004,0.031,0.002,0.43,0.08,0.09,0.07
S855,Pune,18.5444,73.8569,6.86,0.022,0.03,0.003,0.036,0.001,0.35,0.09,0.12,0.06
S856,Solapur,17.6611,75.9332,7.15,0.015,0.031,0.006,0.032,0.002,0.29,0.12,0.13,0.05
S857,Satara,17.7396,74.0465,6.81,0.019,0.027,0.006,0.037,0.003,0.33,0.1,0.18,0.06
S858,Ahmednagar,19.0988,74.759,6.98,0.016,0.022,0.003,0.026,0.001,0.23,0.09,0.14,0.05
S859,Satara,17.6098,74.0655,7.27,0.019,0.039,0.003,0.055,0.001,0.32,0.06,0.14,0.07
S860,Aurangabad,19.8716,75.3647,7.02,0.013,0.022,0.007,0.029,0.003,0.4,0.05,0.19,0.1
S861,Pune,18.528,73.8747,7.26,0.014,0.027,0.002,0.037,0.002,0.34,0.13,0.11,0.05
S862,Nagpur,21.2027,79.0837,7.05,0.016,0.02,0.008,0.031,0.001,0.26,0.04,0.11,0.04
S863,Aurangabad,19.8947,75.3231,7.22,0.024,0.031,0.005,0.037,0.001,0.29,0.07,0.17,0.11
S864,Aurangabad,19.8912,75.2836,6.91,0.017,0.027,0.004,0.038,0.001,0.22,0.12,0.1,0.07
S865,Satara,17.6394,74.0712,6.81,0.015,0.028,0.004,0.037,0.002,0.38,0.12,0.13,0.06
S866,Mumbai,19.1465,72.9062,6.77,0.017,0.024,0.005,0.024,0.002,0.44,0.12,0.04,0.08
S867,Nagpur,21.1785,79.0774,7.18,0.011,0.023,0.008,0.033,0.001,0.29,0.1,0.19,0.06
S868,Aurangabad,19.8636,75.3747,7.03,0.011,0.034,0.005,0.036,0.002,0.21,0.08,0.14,0.06
S869,Ahmednagar,19.1334,74.7561,7.21,0.016,0.033,0.006,0.036,0.002,0.22,0.12,0.14,0.05
S870,Nagpur,21.179,79.0507,6.89,0.022,0.028,0.005,0.039,0.002,0.18,0.09,0.2,0.05
S871,Solapur,17.6504,75.8902,6.98,0.013,0.029,0.005,0.044,0.001,0.27,0.09,0.16,0.04
S872,Mumbai,19.1035,72.9133,6.75,0.013,0.022,0.01,0.032,0.003,0.2,0.07,0.11,0.04
S873,Sangli,16.8444,74.5602,6.8,0.023,0.035,0.007,0.041,0.002,0.26,0.07,0.15,0.04
S874,Nagpur,21.116,79.1228,7.48,0.018,0.034,0.005,0.023,0.002,0.35,0.1,0.13,0.08
S875,Nashik,19.9679,73.7666,6.75,0.017,0.018,0.004,0.029,0.002,0.18,0.1,0.19,0.06
S876,Aurangabad,19.9224,75.3833,7.19,0.016,0.026,0.007,0.032,0.0,0.34,0.07,0.1,0.06
S877,Nashik,19.9946,73.7474,7.04,0.022,0.018,0.008,0.02,0.004,0.27,0.1,0.06,0.06
S878,Mumbai,19.0829,72.8751,6.86,0.01,0.034,0.005,0.051,0.002,0.27,0.12,0.08,0.04
S879,Pune,18.5533,73.8215,6.55,0.027,0.016,0.005,0.037,0.0,0.28,0.11,0.15,0.08
S880,Nashik,19.9859,73.8112,6.83,0.008,0.017,0.002,0.046,0.001,0.32,0.09,0.14,0.09
S881,Aurangabad,19.863,75.3616,7.01,0.015,0.042,0.002,0.049,0.003,0.26,0.15,0.07,0.05
S882,Ahmednagar,19.0589,74.762,6.72,0.019,0.025,0.004,0.04,0.002,0.21,0.18,0.12,0.02
S883,Ahmednagar,19.0699,74.7116,7.21,0.018,0.029,0.004,0.033,0.002,0.29,0.13,0.15,0.07
S884,Aurangabad,19.8912,75.3698,7.07,0.018,0.034,0.004,0.027,0.001,0.31,0.04,0.16,0.06
S885,Satara,17.7145,73.9981,6.95,0.023,0.036,0.004,0.038,0.002,0.33,0.09,0.19,0.02
S886,Mumbai,19.0634,72.8911,7.11,0.024,0.034,0.004,0.049,0.001,0.37,0.15,0.19,0.06
S887,Satara,17.6705,73.9724,7.08,0.009,0.02,0.003,0.031,0.002,0.32,0.08,0.18,0.06
S888,Aurangabad,19.8526,75.3501,7.49,0.018,0.023,0.002,0.034,0.002,0.27,0.05,0.11,0.09
S889,Solapur,17.7029,75.8798,7.17,0.009,0.036,0.005,0.045,0.001,0.35,0.1,0.17,0.08
S890,Aurangabad,19.8782,75.3253,7.19,0.016,0.02,0.003,0.021,0.002,0.39,0.11,0.12,0.08
S891,Sangli,16.8274,74.5844,6.96,0.021,0.015,0.003,0.02,0.002,0.4,0.08,0.12,0.08
S892,Sangli,16.8845,74.5788,7.17,0.01,0.036,0.009,0.041,0.0,0.26,0.12,0.12,0.09
S893,Satara,17.6981,73.9971,7.01,0.011,0.025,0.004,0.048,0.004,0.19,0.04,0.13,0.03
S894,Satara,17.6819,74.0408,7.37,0.017,0.025,0.001,0.036,0.002,0.35,0.08,0.12,0.03
S895,Mumbai,19.0073,72.8444,6.61,0.018,0.022,0.004,0.026,0.0,0.42,0.07,0.12,0.03
S896,Ahmednagar,19.1244,74.7539,6.79,0.014,0.038,0.005,0.034,0.001,0.15,0.1,0.15,0.08
S897,Pune,18.4529,73.8229,6.85,0.016,0.025,0.005,0.04,0.001,0.37,0.11,0.13,0.09
S898,Solapur,17.7066,75.9344,6.5,0.025,0.032,0.009,0.048,0.003,0.37,0.14,0.22,0.06
S899,Kolhapur,16.6578,74.2341,7.1,0.016,0.017,0.002,0.029,0.003,0.43,0.13,0.18,0.06
S900,Ahmednagar,19.0429,74.7359,6.94,0.013,0.026,0.006,0.045,0.002,0.15,0.09,0.14,0.08
S901,Aurangabad,19.8592,75.3587,7.07,0.016,0.033,0.004,0.03,0.002,0.25,0.12,0.11,0.06
S902,Pune,18.5174,73.8631,6.89,0.014,0.027,0.005,0.036,0.003,0.22,0.1,0.08,0.07
S903,Mumbai,19.0425,72.8694,6.91,0.018,0.022,0.004,0.05,0.002,0.26,0.09,0.21,0.06
S904,Nagpur,21.1251,79.0677,6.86,0.012,0.017,0.003,0.028,0.002,0.27,0.09,0.19,0.09
S905,Ahmednagar,19.0867,74.7307,6.78,0.02,0.025,0.004,0.028,0.001,0.33,0.06,0.18,0.05
S906,Ahmednagar,19.0907,74.7095,7.0,0.014,0.026,0.008,0.038,0.001,0.24,0.12,0.19,0.07
S907,Pune,18.5411,73.875,7.35,0.004,0.031,0.007,0.023,0.001,0.23,0.08,0.12,0.06
S908,Aurangabad,19.9022,75.3757,6.79,0.011,0.035,0.006,0.037,0.002,0.3,0.12,0.13,0.07
S909,Ahmednagar,19.0499,74.729,6.83,0.014,0.02,0.004,0.021,0.002,0.29,0.05,0.11,0.07
S910,Pune,18.5041,73.8358,6.98,0.018,0.016,0.006,0.028,0.002,0.3,0.08,0.1,0.05
S911,Nashik,20.0463,73.7489,7.42,0.014,0.026,0.003,0.028,0.002,0.22,0.09,0.12,0.1
S912,Satara,17.6455,74.0214,7.06,0.01,0.031,0.004,0.011,0.003,0.21,0.07,0.17,0.05
S913,Sangli,16.8799,74.6178,6.84,0.021,0.021,0.009,0.029,0.003,0.37,0.11,0.11,0.06
S914,Satara,17.6159,74.025,7.09,0.017,0.005,0.002,0.029,0.002,0.32,0.09,0.17,0.04
S915,Aurangabad,19.8945,75.3575,7.09,0.015,0.039,0.006,0.026,0.002,0.36,0.08,0.18,0.07
S916,Nashik,19.9272,73.7988,6.9,0.019,0.033,0.005,0.053,0.002,0.35,0.12,0.14,0.08
S917,Ahmednagar,19.0774,74.7369,6.67,0.017,0.028,0.007,0.044,0.002,0.21,0.11,0.18,0.08
S918,Solapur,17.6924,75.9,6.88,0.012,0.026,0.005,0.038,0.002,0.29,0.08,0.18,0.06
S919,Satara,17.6753,73.9959,6.67,0.024,0.03,0.002,0.044,0.003,0.31,0.15,0.15,0.03
S920,Mumbai,19.087,72.885,6.85,0.019,0.014,0.007,0.027,0.001,0.29,0.11,0.15,0.05
S921,Satara,17.6653,73.9843,6.94,0.022,0.026,0.007,0.051,0.002,0.29,0.17,0.2,0.03
S922,Kolhapur,16.7166,74.2433,7.21,0.012,0.02,0.004,0.03,0.003,0.21,0.08,0.07,0.08
S923,Solapur,17.698,75.8966,6.93,0.019,0.036,0.006,0.029,0.001,0.21,0.1,0.11,0.06
S924,Kolhapur,16.6884,74.2116,6.71,0.025,0.032,0.008,0.041,0.002,0.41,0.1,0.15,0.06
S925,Kolhapur,16.6166,74.2914,7.12,0.018,0.026,0.005,0.03,0.002,0.2,0.11,0.16,0.06
S926,Mumbai,19.0871,72.848,6.76,0.017,0.031,0.001,0.041,0.002,0.28,0.06,0.11,0.08
S927,Nashik,19.9985,73.7783,6.97,0.019,0.029,0.005,0.047,0.003,0.33,0.1,0.17,0.07
S928,Kolhapur,16.7368,74.2703,6.75,0.009,0.021,0.007,0.02,0.002,0.33,0.13,0.15,0.03
S929,Solapur,17.6311,75.8709,6.87,0.015,0.018,0.008,0.023,0.003,0.39,0.13,0.11,0.07
S930,Satara,17.6422,74.0456,6.98,0.014,0.017,0.001,0.026,0.003,0.27,0.09,0.17,0.1
S931,Aurangabad,19.916,75.3141,6.51,0.03,0.042,0.005,0.023,0.003,0.29,0.1,0.18,0.07
S932,Solapur,17.6243,75.8967,7.17,0.019,0.028,0.007,0.032,0.002,0.05,0.09,0.17,0.05
S933,Sangli,16.8384,74.5503,7.25,0.019,0.032,0.002,0.034,0.002,0.28,0.08,0.13,0.08
S934,Pune,18.463,73.91,7.12,0.016,0.032,0.002,0.029,0.002,0.41,0.1,0.16,0.05
S935,Satara,17.6951,74.0686,7.25,0.016,0.031,0.006,0.041,0.003,0.39,0.1,0.17,0.05
S936,Mumbai,19.0483,72.8696,6.98,0.006,0.032,0.001,0.063,0.003,0.28,0.1,0.15,0.05
S937,Kolhapur,16.7108,74.239,6.98,0.017,0.017,0.005,0.038,0.002,0.28,0.13,0.13,0.06
S938,Aurangabad,19.9151,75.3409,7.05,0.015,0.035,0.004,0.049,0.002,0.23,0.12,0.13,0.07
S939,Kolhapur,16.6231,74.2435,6.89,0.01,0.022,0.004,0.036,0.001,0.33,0.14,0.15,0.08
S940,Mumbai,19.1088,72.9148,7.47,0.013,0.021,0.007,0.043,0.003,0.45,0.1,0.16,0.04
S941,Solapur,17.724,75.8963,6.92,0.014,0.021,0.004,0.031,0.001,0.24,0.16,0.17,0.08
S942,Sangli,16.8877,74.6365,6.56,0.009,0.02,0.004,0.033,0.002,0.32,0.1,0.11,0.02
S943,Pune,18.4906,73.8402,6.94,0.009,0.023,0.003,0.035,0.001,0.23,0.06,0.13,0.04
S944,Sangli,16.8796,74.5937,6.98,0.011,0.029,0.006,0.037,0.003,0.34,0.13,0.15,0.07
S945,Satara,17.6566,74.0045,7.09,0.018,0.03,0.007,0.022,0.001,0.32,0.08,0.28,0.07
S946,Solapur,17.6576,75.8909,6.88,0.016,0.027,0.004,0.033,0.003,0.41,0.11,0.09,0.07
S947,Pune,18.567,73.8978,7.18,0.025,0.026,0.006,0.029,0.002,0.41,0.08,0.11,0.06
S948,Nagpur,21.139,79.1077,6.89,0.026,0.017,0.008,0.028,0.001,0.32,0.09,0.1,0.03
S949,Sangli,16.8521,74.6108,7.15,0.016,0.029,0.005,0.022,0.001,0.28,0.1,0.17,0.08
S950,Kolhapur,16.7232,74.2349,6.65,0.018,0.03,0.001,0.028,0.001,0.31,0.08,0.14,0.06
